blog,post_file,title_matchers,title_cleaners,title_result,author_matchers,author_cleaners,author_result,date_matchers,date_cleaners,date_result,content_matchers,content_cleaners,content_result,labels_matchers,labels_cleaners,labels_result,comment-count_matchers,comment-count_cleaners,comment-count_result
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/10/23/dec-commish-pete-grannis-fired/index.html,0,False,None,,,None,1,True,'2010/10/23',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/21/adirondack-land-deals-a-policy-debate-or-a-witch-hunt/index.html,0,False,None,,,None,1,True,'2010/04/21',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/21/adirondack-council-head-defends-environmental-budget-request-in-empire-page-interview/index.html,0,False,None,,,None,1,True,'2010/04/21',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/21/suing-the-apa-is-a-year-round-sport-in-the-adirondacks/index.html,0,False,None,,,None,1,True,'2010/04/21',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/21/dec-commissioner-weve-made-great-strides-with-environment/index.html,0,False,None,,,None,1,True,'2010/04/21',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/21/adirondack-park-agency-shrinks-loses-core-staff-to-retirement/index.html,0,False,None,,,None,1,True,'2010/04/21',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/11/key-facts-in-ny-post-article-on-nature-conservancy-adirondack-deal-questioned/index.html,0,False,None,,,None,1,True,'2010/04/11',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/08/report-investigate-alternatives-to-road-salt-advanced-techniques-could-be-cheaper-environmentally-safer-in-the-adirondacks/index.html,0,False,None,,,None,1,True,'2010/04/08',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/05/ny-gave-environmental-org-absurd-3-7m-profit-for-forest/index.html,0,False,None,,,None,1,True,'2010/04/05',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/07/state-purchase-of-conservancy-land-to-be-investigated/index.html,0,False,None,,,None,1,True,'2010/04/07',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/07/hurricane-st-regis-fire-towers-get-apa-master-plan-review/index.html,0,False,None,,,None,1,True,'2010/04/07',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/15/thereâ%80%99s-good-reason-to-oppose-apa-nominee/index.html,0,False,None,,,None,1,True,'2010/04/15',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/15/apa-allows-fire-towers-to-stay/index.html,0,False,None,,,None,1,True,'2010/04/15',0,False,None,0,True,None,,,None
/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com,/scratch/unmirrored1/agong/blog_crawl_2012_01/mirrors/adirondackcitizen.wordpress.com/2010/04/18/the-truth-about-the-adirondack-economy/index.html,0,False,None,,,None,1,True,'2010/04/18',0,False,None,0,True,None,,,None
